source_path,destination_path,reviewer,artifact_role,size_bytes,modified_time,sha256,action,notes
C:\AI\promptrig-part1-consolidation-handoff-v1.0\canonical-source\promptrig-review-launch-v0.4\00-governance\CHANGE_CONTROL.md,C:\AI\PromptRig-Central\canonical-source\promptrig-review-launch-v0.4\00-governance\CHANGE_CONTROL.md,n/a,canonical_source_launch_pack,785,2026-07-20T01:45:06Z,33a11f4260d64a4750c55bffc18ed84678bacd4ed12b0ae472417e0546d6b647,copied_verbatim,Seeded from handoff package canonical-source (editable project source).
C:\AI\promptrig-part1-consolidation-handoff-v1.0\canonical-source\promptrig-review-launch-v0.4\00-governance\LEGACY_DECISION_LOG.md,C:\AI\PromptRig-Central\canonical-source\promptrig-review-launch-v0.4\00-governance\LEGACY_DECISION_LOG.md,n/a,canonical_source_launch_pack,1322,2026-07-20T01:45:06Z,2383c70f061758eec808f81c895d38b848d6a253c84c820f6ad392d0c6c65c30,copied_verbatim,Seeded from handoff package canonical-source (editable project source).
C:\AI\promptrig-part1-consolidation-handoff-v1.0\canonical-source\promptrig-review-launch-v0.4\00-governance\OPEN_QUESTIONS.md,C:\AI\PromptRig-Central\canonical-source\promptrig-review-launch-v0.4\00-governance\OPEN_QUESTIONS.md,n/a,canonical_source_launch_pack,467,2026-07-20T01:45:06Z,e4fffd496884bc67048accc56f4a5ce96a71c4b54a8c03845ded9fb1465da863,copied_verbatim,Seeded from handoff package canonical-source (editable project source).
C:\AI\promptrig-part1-consolidation-handoff-v1.0\canonical-source\promptrig-review-launch-v0.4\00-governance\PROJECT_CHARTER.md,C:\AI\PromptRig-Central\canonical-source\promptrig-review-launch-v0.4\00-governance\PROJECT_CHARTER.md,n/a,canonical_source_launch_pack,1521,2026-07-20T01:51:32Z,489a17e3075ef4edd3926d93706dfa2670d06c1d35d3be29c63a66ea4db86882,copied_verbatim,Seeded from handoff package canonical-source (editable project source).
C:\AI\promptrig-part1-consolidation-handoff-v1.0\canonical-source\promptrig-review-launch-v0.4\00-governance\REVIEW_DOCKET.md,C:\AI\PromptRig-Central\canonical-source\promptrig-review-launch-v0.4\00-governance\REVIEW_DOCKET.md,n/a,canonical_source_launch_pack,340,2026-07-20T01:51:32Z,399268f03f9dc63b6f928c2f70786eac6e5165bd94564b35ca64bbbcd105684e,copied_verbatim,Seeded from handoff package canonical-source (editable project source).
C:\AI\promptrig-part1-consolidation-handoff-v1.0\canonical-source\promptrig-review-launch-v0.4\00-governance\RISK_REGISTER.md,C:\AI\PromptRig-Central\canonical-source\promptrig-review-launch-v0.4\00-governance\RISK_REGISTER.md,n/a,canonical_source_launch_pack,1385,2026-07-20T01:45:06Z,f58a107a78d8cc6f0baf5b2a31deb587df8b0923f2d68b20fc04c714c71e983c,copied_verbatim,Seeded from handoff package canonical-source (editable project source).
C:\AI\promptrig-part1-consolidation-handoff-v1.0\canonical-source\promptrig-review-launch-v0.4\00-governance\STATUS_AND_DECISIONS.md,C:\AI\PromptRig-Central\canonical-source\promptrig-review-launch-v0.4\00-governance\STATUS_AND_DECISIONS.md,n/a,canonical_source_launch_pack,1603,2026-07-20T01:53:48Z,db21ce98bbde90992ba10430d944f289843cff33b94d72b68b73a571630a8ad2,copied_verbatim,Seeded from handoff package canonical-source (editable project source).
C:\AI\promptrig-part1-consolidation-handoff-v1.0\canonical-source\promptrig-review-launch-v0.4\01-vision\PRODUCT_CONSTITUTION.md,C:\AI\PromptRig-Central\canonical-source\promptrig-review-launch-v0.4\01-vision\PRODUCT_CONSTITUTION.md,n/a,canonical_source_launch_pack,1238,2026-07-20T01:45:06Z,20202be75b0683621cd7864bae565f0d0bcdbf1445142f4b2e565aa1bdcdd523,copied_verbatim,Seeded from handoff package canonical-source (editable project source).
C:\AI\promptrig-part1-consolidation-handoff-v1.0\canonical-source\promptrig-review-launch-v0.4\01-vision\PROMPTRIG_MASTER_SCOPE.md,C:\AI\PromptRig-Central\canonical-source\promptrig-review-launch-v0.4\01-vision\PROMPTRIG_MASTER_SCOPE.md,n/a,canonical_source_launch_pack,5848,2026-07-20T01:45:06Z,b59ecd51ab9025b441c01e4ac44a09cd8dce16c5beba1520e9531ca953732ed0,copied_verbatim,Seeded from handoff package canonical-source (editable project source).
C:\AI\promptrig-part1-consolidation-handoff-v1.0\canonical-source\promptrig-review-launch-v0.4\02-research\LANDSCAPE_AND_PRIOR_ART.md,C:\AI\PromptRig-Central\canonical-source\promptrig-review-launch-v0.4\02-research\LANDSCAPE_AND_PRIOR_ART.md,n/a,canonical_source_launch_pack,1425,2026-07-20T01:51:32Z,89f17720f8189a77f9130b10f563b5bb69f15d0345032e29b310dca783c9c2e8,copied_verbatim,Seeded from handoff package canonical-source (editable project source).
C:\AI\promptrig-part1-consolidation-handoff-v1.0\canonical-source\promptrig-review-launch-v0.4\02-research\RESEARCH_PROTOCOL.md,C:\AI\PromptRig-Central\canonical-source\promptrig-review-launch-v0.4\02-research\RESEARCH_PROTOCOL.md,n/a,canonical_source_launch_pack,1340,2026-07-20T01:51:32Z,bb92f400653f647f66a5db027ea4ec35a806b5b4e94e9ea2a4f27fe2e5b21570,copied_verbatim,Seeded from handoff package canonical-source (editable project source).
C:\AI\promptrig-part1-consolidation-handoff-v1.0\canonical-source\promptrig-review-launch-v0.4\02-research\SOURCE_REGISTER.md,C:\AI\PromptRig-Central\canonical-source\promptrig-review-launch-v0.4\02-research\SOURCE_REGISTER.md,n/a,canonical_source_launch_pack,1358,2026-07-20T01:51:32Z,5c7a4464ed90fe943851a1117fd312b4f693e48f0778f7163b335e58aff1c682,copied_verbatim,Seeded from handoff package canonical-source (editable project source).
C:\AI\promptrig-part1-consolidation-handoff-v1.0\canonical-source\promptrig-review-launch-v0.4\03-architecture\ARCHITECTURE_FREEZE_CHECKLIST.md,C:\AI\PromptRig-Central\canonical-source\promptrig-review-launch-v0.4\03-architecture\ARCHITECTURE_FREEZE_CHECKLIST.md,n/a,canonical_source_launch_pack,1772,2026-07-20T01:51:32Z,7f79b7f9ff54e02cee6f0e039719c89c61b16d30c5f9635773df8efd0d711531,copied_verbatim,Seeded from handoff package canonical-source (editable project source).
C:\AI\promptrig-part1-consolidation-handoff-v1.0\canonical-source\promptrig-review-launch-v0.4\03-architecture\ARCHITECTURE_REVIEW_PLAN.md,C:\AI\PromptRig-Central\canonical-source\promptrig-review-launch-v0.4\03-architecture\ARCHITECTURE_REVIEW_PLAN.md,n/a,canonical_source_launch_pack,1483,2026-07-20T01:51:32Z,85a49d9d632cdd126cf2d50843ddbc47f362140047a4957643273e0d9b3af947,copied_verbatim,Seeded from handoff package canonical-source (editable project source).
C:\AI\promptrig-part1-consolidation-handoff-v1.0\canonical-source\promptrig-review-launch-v0.4\03-architecture\BASELINE_ARCHITECTURE.md,C:\AI\PromptRig-Central\canonical-source\promptrig-review-launch-v0.4\03-architecture\BASELINE_ARCHITECTURE.md,n/a,canonical_source_launch_pack,1601,2026-07-20T01:45:06Z,a66d14efac916c02c1b780e1174e27fb4043e214c8a9b53418f4e1c3526458d7,copied_verbatim,Seeded from handoff package canonical-source (editable project source).
C:\AI\promptrig-part1-consolidation-handoff-v1.0\canonical-source\promptrig-review-launch-v0.4\03-architecture\REVIEW_FINDING_SCHEMA.json,C:\AI\PromptRig-Central\canonical-source\promptrig-review-launch-v0.4\03-architecture\REVIEW_FINDING_SCHEMA.json,n/a,canonical_source_launch_pack,988,2026-07-20T01:51:32Z,8998830419b5426080f7153c3a891646d93ea19a58aaba4222390dab8847cb60,copied_verbatim,Seeded from handoff package canonical-source (editable project source).
C:\AI\promptrig-part1-consolidation-handoff-v1.0\canonical-source\promptrig-review-launch-v0.4\03-architecture\adrs\ADR-001-PROMPTRIG-IR.md,C:\AI\PromptRig-Central\canonical-source\promptrig-review-launch-v0.4\03-architecture\adrs\ADR-001-PROMPTRIG-IR.md,n/a,canonical_source_launch_pack,642,2026-07-20T01:48:26Z,728e8e819bad3c3291985cd80a647d8dc94c87a0a8df754d0cdbbb313ac0cb3a,copied_verbatim,Seeded from handoff package canonical-source (editable project source).
